Note,Marketing email IDs,Company Name,Email Address,Phone Number,Status,Position keyword,City,Industry,Company address,Company website,Company size,Company turnover,Email taken from,Parsed date,Vacancy Date,Vacancy Title,Vacancy Link
,,,info@hesch.de,+49 5032 95350,white,BUCHALTER,leipzig,Halbleiter und elektronische Bauteile,"Boschstr. 8, 31535 Neustadt am Rübenberge, Germany ",http://www.hesch-automation.com,200,,jobsite,2023-06-07T16:58:20.813Z,2023-05-30T17:08:38.847Z,Buchalter /in (m/w/d) in tollem harmonischem Team,https://www.xing.com/jobs/neustadt-ruebenberge-buchalter-tollem-harmonischem-team-103088536
,,Baumann Paletten ,MAIL@LARS-ARMBRUSTER.DE,,white,,,,Garching bei München,https://www.baumannpaletten.de/,,,,2023-06-25T11:29:26.092Z,,,
,,Building Information Cloud ,info@thinkbic.de,,white,,,,Neumarkt,https://www.thinkbic.de/,,,,2023-06-25T11:29:26.092Z,,,
,,CALLSTR ,info@callstr.com,,white,,,,Berlin,https://callstr.com/,,,,2023-06-25T11:29:26.092Z,,,
,,CAST ME ,Logo@2x.png,,white,,,,Dortmund,https://www.castme.app/,,,,2023-06-25T11:29:26.092Z,,,
,,chargeIQ ,hello@chargeiq.de,,white,,,,Leinfelden-Echterdingen,https://chargeiq.de/,,,,2023-06-25T11:29:26.092Z,,,
,,Con Cubo ,ConCubo@con-cubo.com,,white,,,,Kiel,https://www.con-cubo.com/,,,,2023-06-25T11:29:26.092Z,,,
,,Conscious U ,office@conscious-u.com,,white,,,,Berlin,https://www.conscious-u.com/,,,,2023-06-25T11:29:26.092Z,,,
,,ContainerGrid ,office@tecnologia.com,,white,,,,München,https://containergrid.de/,,,,2023-06-25T11:29:26.092Z,,,
,,Dreimal-F GmbH ,info@dreimal-f.com,,white,,,,Köln,https://www.dreimal-f.com/,,,,2023-06-25T11:29:26.092Z,,,
,,drive & dine ,info@drivedineapp.com,,white,,,,Frankfurt am Main,https://www.drivedineapp.com/,,,,2023-06-25T11:29:26.092Z,,,
,,drivEddy ,info@driveddy.com,,white,,,,Berlin ,https://www.driveddy.com/,,,,2023-06-25T11:29:26.092Z,,,
,,DV digital vereinfacht ,info@digital-vereinfacht.de,,white,,,,Würselen ,https://www.digital-vereinfacht.de/,,,,2023-06-25T11:29:26.092Z,,,
,,everbay ,everbay-colour-web@2x.png,,white,,,,München - Berg-am-Laim,https://everbay.de/,,,,2023-06-25T11:29:26.092Z,,,
,,GröGo Biolieferservice ,Groego-Logo-Wortmarke_Slogan-1_ff2e8482-8067-4fa6-bf4f-822e5ffbe196_200x@2x.jpg,,white,,,,Nusse,https://www.groego.de/,,,,2023-06-25T11:29:26.092Z,,,
,,Gründerfreunde ,Uniki_Logo_300dpi_@Uniki-324x235.jpg,,white,,,,Berlin,https://gruenderfreunde.de/,,,,2023-06-25T11:29:26.092Z,,,
,,GVI ,hellofrank@gvi.vc,,white,,,,Berlin,https://consultingforfuture.org/gvi-investment-advisory,,,,2023-06-25T11:29:26.092Z,,,
,,heynannyly ,team@heynannyly.de,,white,,,,Höchstadt,https://heynannyly.com/,,,,2023-06-25T11:29:26.092Z,,,
,,Hibyrd ,hvd@hibyrd.io,,white,,,,Berlin,https://www.hibyrd.io/,,,,2023-06-25T11:29:26.092Z,,,
,,Locaboo ,sales@locaboo.com,,white,,,,München,https://www.locaboo.com/,,,,2023-06-25T11:29:26.092Z,,,
,,memoresa ,Business01@6-1.png,,white,,,,Leipzig,https://www.memoresa.de/,,,,2023-06-25T11:29:26.092Z,,,
